id	name	lat	lng	type	openDate	price	tags	description
113	남양주 수동계곡	37.7423	127.3015	valley	상시 개방	무료	#몽골문화촌 #평상무료	맑고 수량이 풍부하며 계곡을 따라 무료로 쉴 수 있는 공간이 잘 정비되어 있습니다.
114	수원 광교호수공원 물너미분수	37.2785	127.0612	free	상시 개방	무료	#야경맛집 #대형분수	광교호수공원의 또 다른 분수! 물 터널이 만들어져 아이들이 가장 좋아하는 공간입니다.
115	용인 백남준아트센터 앞 백옥분수	37.2687	127.1082	free	상시 개방	무료	#미술관 #분수쇼	예술 작품 같은 분수 쇼를 감상하며 더위를 식히기 좋은 경기도박물관 앞 쉼터.
116	하남 미사호수공원 음악분수	37.5678	127.1956	free	상시 개방	무료	#미사강변 #데이트	하남 미사신도시의 자랑. 시원한 물줄기와 음악, 조명이 어우러진 화려한 야간 분수쇼!
117	성남 탄천 물놀이장 (태평동)	37.4385	127.1211	free	2026-07-01	무료	#탄천 #초대형	성남시에서 운영하는 탄천 변 무료 물놀이장 중 가장 규모가 크고 시설이 깨끗합니다.
118	강릉 안목 해수욕장	37.7719	128.9472	beach	2026-07-05	무료	#커피거리 #오션뷰	해수욕 즐기고 바로 앞 카페거리에서 시원한 아이스 아메리카노 한 잔! 최고의 낭만.
119	강릉 사천진 해수욕장	37.8341	128.8789	beach	2026-07-05	무료	#서핑 #조용한바다	경포대보다 한적하고 물이 맑아 조용히 휴가를 즐기고 싶은 분들에게 인기 있는 바다.
120	속초 외옹치 해수욕장	38.1725	128.6083	beach	2026-07-10	무료	#바다향기로 #산책로	해수욕과 더불어 롯데리조트 쪽으로 이어지는 '바다향기로' 산책이 일품인 아담한 해변.
121	고성 송지호 해수욕장	38.3375	128.5283	beach	2026-07-15	무료	#얕은수심 #가족피서	수심이 낮고 모래가 고우며 뒤편에 송지호(호수)가 있어 바다와 호수를 동시 체감 가능!
122	고성 아야진 해수욕장	38.2731	128.5544	beach	2026-07-15	무료	#무지개도로 #스노클링	기암괴석이 파도를 막아주어 천연 수영장이 형성된 곳! 에메랄드 바다에서 스노클링하세요.
123	양양 죽도 해수욕장	37.9658	128.7618	beach	2026-07-05	무료	#서핑메카 #힙플	파도가 좋아 양양 서핑의 중심지로 불립니다. 주변에 서핑 샵과 이국적인 카페가 가득!
124	양양 인구 해수욕장	37.9542	128.7661	beach	2026-07-05	무료	#양리단길 #풀파티	낮에는 서핑, 밤에는 핫한 파티가 열리는 2030 청춘들의 압도적인 핫플레이스 양리단길!
125	삼척 맹방 해수욕장	37.3875	129.2089	beach	2026-07-10	무료	#BTS촬영지 #명사십리	BTS 'Butter' 앨범 자켓 촬영지로 유명해진 곳! 끝없는 백사장과 푸른 바다가 예술입니다.
126	태백 구문소	37.1025	129.0289	valley	상시 개방	무료	#천연기념물 #석회동굴	물놀이는 금지지만, 구멍 뚫린 바위 사이로 흐르는 폭포를 보는 것만으로 에어컨 튼 듯 서늘!
127	평창 흥정계곡 허브나라	37.6258	128.3183	valley	상시 개방	입장료별도	#허브향 #수변공원	흥정계곡을 낀 아름다운 정원. 계곡물에 발 담그고 허브향을 맡으면 피로가 눈 녹듯 사라집니다.
128	제천 송계계곡	36.8521	128.0833	valley	상시 개방	무료	#월악산 #얼음물	월악산 국립공원 내를 흐르는 거대한 계곡. 물이 깊고 차가워 한여름 무더위 탈출에 최고.
129	제천 탁사정 계곡	37.1852	128.1567	valley	상시 개방	무료	#제천10경 #물수제비	물이 맑고 수심이 적당해 제천 시민들이 여름마다 텐트 들고 찾는 국민 계곡 유원지.
130	괴산 쌍곡계곡	36.7583	127.9412	valley	상시 개방	무료	#소금강 #기암절벽	퇴계 이황도 반했다는 아름다운 계곡. 곳곳에 펜션과 평상이 있어 가족 단위로 놀기 좋습니다.
131	당진 왜목마을 해수욕장	37.0308	126.5273	beach	2026-07-06	무료	#일출일몰 #조개잡이	서해에서 일출과 일몰을 모두 볼 수 있는 유일한 곳! 갯벌 조개잡이 체험도 인기 만점.
132	보령 무창포 해수욕장	36.2483	126.5331	beach	2026-07-06	무료	#모세의기적 #독살체험	신비의 바닷길이 열리는 곳! 바다가 갈라지면 걸어서 섬까지 가고 해산물도 주울 수 있어요.
133	서산 벌천포 해수욕장	37.0142	126.3533	beach	2026-07-01	무료	#몽돌해변 #노지캠핑	서해안에서 보기 드문 몽돌해변! 물이 맑고 오지 느낌이 나서 차박과 노지 캠핑의 성지입니다.
134	공주 동학사 계곡	36.3567	127.2289	valley	상시 개방	무료	#계룡산 #식당가	계룡산 국립공원 초입의 계곡. 식당이 즐비해 계곡물 소리를 들으며 백숙 먹기 좋은 곳.
135	대전 금강 로하스 산호빛공원 물놀이장	36.4385	127.4231	cheap	2026-07-15	5,000원	#대형수영장 #야외풀장	대전 시민들의 에버랜드! 신탄진에 위치한 대규모 야외 수영장으로 워터 슬라이드도 있습니다.
136	전주 맑은물뜰 바닥분수	35.8242	127.1478	free	상시 개방	무료	#수자원공사 #가족나들이	전주 수자원공사 근처에 잘 조성된 깨끗한 바닥분수. 주차도 편하고 그늘도 많습니다.
137	부안 변산 해수욕장	35.6889	126.5283	beach	2026-07-08	무료	#서해안대표 #하얀모래	서해안 3대 해수욕장! 모래가 매우 부드럽고 썰물 때 끝없이 펼쳐지는 갯벌이 장관입니다.
138	부안 격포 해수욕장	35.6325	126.4678	beach	2026-07-08	무료	#채석강 #해식절벽	수만 권의 책을 쌓아놓은 듯한 신비로운 절벽 '채석강' 바로 옆에서 해수욕을 즐기세요.
139	고창 구시포 해수욕장	35.4525	126.4358	beach	2026-07-10	무료	#해수찜 #명사가십리	경사가 완만하고 모래가 단단해 차가 들어갈 수 있을 정도! 근처 해수찜질도 유명합니다.
140	진안 운장산 자연휴양림 계곡	35.8853	127.4116	valley	상시 개방	입장료 상이	#휴양림 #피톤치드	울창한 숲 속을 흐르는 얼음 같은 계곡! 휴양림 야영장이나 통나무집을 예약하면 100점.
141	완주 동상계곡	35.9189	127.3117	valley	상시 개방	무료	#수박 #탁족	물이 너무 차가워 수박을 담가두면 금방 깨진다는 전설(?)이 있는 완주 최고의 피서지.
142	광주 시민의숲 물놀이장	35.2289	126.8523	free	2026-07-15	무료	#첨단지구 #대형놀이터	광주 북구 첨단지구에 위치한 초대형 무료 물놀이터. 수질 관리도 철저해 아이들에게 안전!
143	담양 가마골 생태공원 계곡	35.4678	127.0544	valley	상시 개방	무료	#영산강발원지 #출렁다리	용소에서 쏟아지는 폭포와 맑은 계곡! 아찔한 출렁다리를 걷고 계곡물에 발 담그며 쉬세요.
144	여수 만성리 검은모래해변	34.7678	127.7512	beach	2026-07-05	무료	#검은모래 #찜질효과	신경통에 좋다는 검은 모래 찜질로 유명한 곳. 여수 밤바다의 낭만을 느낄 수 있는 해변.
145	보성 율포 해수녹차센터 앞 해수욕장	34.6644	127.0525	beach	2026-07-08	무료	#녹차탕 #솔밭텐트	해수욕 즐기고 바로 앞 건물에서 보성 녹차 해수탕에 몸을 녹일 수 있는 유일무이한 스팟.
146	고흥 남열 해돋이 해수욕장	34.5283	127.5342	beach	2026-07-15	무료	#남해서핑 #우주발사대	남해안에서 유일하게 파도가 높아 서핑이 가능한 해수욕장! 근처 고흥 우주타워도 뷰 포인트.
147	순천 낙안읍성 맑은물	34.9083	127.3378	valley	상시 개방	무료	#초가집 #옛풍경	계곡은 아니지만 읍성 옆으로 흐르는 개울물이 맑아 시골 할머니 댁에 온 듯한 감성 피서 가능.
148	구례 피아골 계곡	35.2678	127.5583	valley	상시 개방	무료	#지리산 #단풍명소	가을 단풍도 유명하지만 여름철 쏟아지는 지리산 맑은 물과 시원한 바람은 지상 낙원!
149	대구 신천 물놀이장	35.8567	128.6083	free	2026-07-15	무료	#대구시민 #도심피서	대프리카의 열기를 식혀주는 신천 둔치 거대 물놀이장! 워터슬라이드와 다양한 풀장이 무료.
150	대구 수성못 바닥분수	35.8258	128.6189	free	상시 개방	무료	#야경 #오리배	수성못 야경과 어우러지는 환상적인 음악분수! 주변 맛집과 카페거리에서 데이트하기 좋습니다.
151	포항 월포 해수욕장	36.1956	129.3789	beach	2026-06-25	무료	#조용한바다 #민박	물이 맑고 수심이 얕아 대가족 피서지로 추천! 전통적인 민박집 감성을 느낄 수 있습니다.
152	포항 구룡포 해수욕장	35.9867	129.5623	beach	2026-07-06	무료	#동백꽃필무렵 #대게	드라마 촬영지로 유명한 구룡포 일본인 가옥거리 구경하고 해수욕과 대게까지 먹방 코스 완성.
153	경주 캘리포니아비치	35.8367	129.2818	cheap	2026-06-15	시즌별 상이	#워터파크 #경주월드	경주월드 바로 옆 아찔한 워터파크! 할인카드 챙기면 갓성비로 스릴 넘치는 어트랙션 탑승.
154	영천 치산계곡	36.0358	128.7618	valley	상시 개방	무료	#카라반 #팔공산	팔공산 자락 청정 계곡! 계곡 바로 옆에 캠핑장과 카라반 시설이 아주 잘 되어 있습니다.
155	경산 남매지 바닥분수	35.8283	128.7456	free	상시 개방	무료	#연꽃 #수변공원	경산 시민들의 핫플 남매지! 밤이면 연꽃 호수 위로 아름다운 분수쇼와 레이저쇼가 펼쳐집니다.
156	청도 운문사 계곡	35.6328	128.9839	valley	상시 개방	무료	#소나무숲 #사찰	운문사 매표소 아래 하류 쪽에 넓은 자갈밭과 얕은 물이 있어 아이들 튜브 태워 놀기 좋습니다.
157	부산 일광 해수욕장	35.2589	129.2333	beach	2026-07-01	무료	#기장 #오리배	기장 쪽에 위치한 조용하고 수심 얕은 바다. 찐만두, 찐빵 등 근처에 유명한 맛집이 많아요.
158	부산 임랑 해수욕장	35.3183	129.2667	beach	2026-07-01	무료	#차박성지 #방파제낚시	기장 끝자락에 위치해 덜 붐비고 낚시와 노지 캠핑(차박)을 즐기는 매니아들이 찾는 곳.
159	창원 진동 광암해수욕장	35.1053	128.5147	beach	2026-07-01	무료	#인공백사장 #수질개선	창원의 유일한 해수욕장이 수질을 개선하고 깨끗한 모래를 깔아 쾌적한 피서지로 탈바꿈!
160	김해 롯데워터파크	35.1958	128.8283	cheap	상시 개방	시즌별 상이	#초대형 #파도풀	국내 최고 수준의 파도풀! 영남권 최대 워터파크로 오후권/할인 예매 시 가성비가 훌륭합니다.
161	거제 구조라 해수욕장	34.8089	128.6833	beach	2026-07-01	무료	#모래가고운 #남해안	거제도에서 가장 모래가 부드럽고 수심이 얕아 튜브 타고 둥둥 떠다니기 좋은 가족 해수욕장.
162	통영 수륙 해수욕장	34.8218	128.4356	beach	2026-07-10	무료	#몽돌과모래 #자전거길	통영 시내에서 가깝고, 해안선을 따라 자전거 도로가 나 있어 라이딩 후 땀 식히기 제격입니다.
163	사천 남일대 해수욕장	34.9283	128.0833	beach	2026-07-08	무료	#코끼리바위 #에코라인	거대한 코끼리바위가 바다에 떠있고, 바다 위를 가로지르는 짚라인(에코라인)이 아찔합니다.
164	밀양 표충사 계곡	35.5367	128.9839	valley	상시 개방	무료	#얼음장 #밀양8경	영남알프스 산세가 뿜어내는 얼음장 같은 맑은 물! 표충사 산책과 물놀이를 동시에.
165	함양 용추계곡	35.6328	127.7618	valley	상시 개방	무료	#기백산 #용소	폭포 소리가 마치 용이 승천하는 소리 같다는 깊고 웅장한 계곡. 수려한 경관이 압도적입니다.
166	합천 황강 레포츠공원 물놀이장	35.5689	128.1633	free	2026-07-15	무료	#황강 #카누체험	모래사장이 있는 강변 유원지. 여름철 열리는 옐로우리버비치 축제 때는 이색 테마파크로 변신!
167	울산 일산 해수욕장	35.4958	129.4318	beach	2026-07-01	무료	#대왕암공원 #야경맛집	대왕암공원 바로 옆! 바다에서 놀고 출렁다리까지 구경하는 코스. 주변에 식당도 많아요.
168	울산 주전 몽돌해변	35.5867	129.4583	beach	상시 개방	무료	#몽돌소리 #해안드라이브	검은 몽돌이 파도에 굴러가는 소리가 예술! 차박 텐트를 치고 고기 구워 먹기 좋은 노지 성지.
169	제주 이호테우 해수욕장	33.4989	126.4528	beach	2026-06-24	무료	#조랑말등대 #공항근처	공항에서 가장 가까운 바다! 붉은색, 흰색 조랑말 등대를 배경으로 인생샷을 건져보세요.
170	제주 삼양 검은모래해변	33.5258	126.5867	beach	2026-06-24	무료	#찜질 #용천수	검은 모래 찜질 후, 해변 한쪽에 콸콸 쏟아지는 얼음장 같은 용천수(민물) 노천탕에서 씻어내세요.
171	제주 판포포구	33.3618	126.1956	valley	상시 개방	무료	#스노클링성지 #천연풀장	계곡은 아니지만 방파제가 파도를 막아 천연 수영장이 된 곳. 바닥이 투명해 스노클링 최고 핫플!
172	제주 논짓물	33.2431	126.3867	free	상시 개방	무료	#노천탕 #담수욕장	바다와 민물이 만나는 천연 노천탕! 짠물 싫어하는 분들에게 최고의 제주도 숨은 명소입니다.
173	제주 황우지 선녀탕	33.2389	126.5458	valley	상시 개방	무료	#블루홀 #다이빙	외돌개 근처 바위로 둘러싸인 천연 바다 수영장. 에메랄드 물빛 속에서 스노클링을 즐기세요.
174	제주 하효 쇠소깍	33.2528	126.6231	valley	상시 개방	테우/카약 별도	#카약 #계곡바다	용암이 흘러내려 굳은 기암괴석 사이로 맑은 민물이 흐르는 곳. 투명 카약을 타며 경치를 감상.
175	서귀포 화순 금모래해수욕장	33.2389	126.3315	beach	2026-07-01	무료	#담수수영장 #산방산뷰	해변 바로 옆에 거대한 무료 용천수(담수) 수영장이 있어, 짠 바닷물과 시원한 민물을 동시 체험!
176	세종 호수공원 물놀이섬	36.4958	127.2618	free	2026-07-15	무료	#인공해변 #모래놀이	세종 시민들의 바다! 호수공원 안에 은빛 모래사장이 있어 바다에 온 듯한 기분을 낼 수 있습니다.
177	세종 방축천 음악분수	36.5183	127.2567	free	상시 개방	무료	#야간분수 #산책길	세종시 도심을 흐르는 방축천. 한여름 밤 화려한 레이저와 음악이 어우러진 분수쇼가 매일 열려요.
178	서울 양재천 물놀이장	37.4761	127.0345	free	2026-07-10	무료	#강남구 #양재시민의숲	강남/서초 도심 한복판 양재천 옆에 마련된 깔끔한 무료 수영장. 유아풀이 잘 되어 있습니다.
179	과천 관악산 계곡 (향교방면)	37.4328	126.9856	valley	상시 개방	무료	#지하철접근 #등산후탁족	지하철 과천역에서 걸어갈 수 있는 갓성비 계곡! 물이 얕아 아이들이 안전하게 물장구칠 수 있어요.
180	의정부 수락산 벽운계곡	37.6958	127.0567	valley	상시 개방	무료	#장암역 #청정수	지하철 7호선 장암역에서 도보 접근 가능! 평상이 싹 철거되어 누구나 무료로 쉴 수 있는 청정 계곡.
181	안양 병목안 시민공원 계류	37.3867	126.9015	free	상시 개방	무료	#폭포 #수리산	수리산 자락에서 내려오는 맑은 물과 인공 폭포! 캠핑장과 묶어서 1박 2일 휴가로 제격입니다.
182	김포 아라뱃길 아라마리나 물놀이장	37.5958	126.7818	free	2026-07-15	무료	#요트뷰 #현대아울렛	요트가 정박한 이국적인 풍경 속에서 물놀이를! 아울렛 쇼핑과 함께 즐기는 완벽한 도심 휴가.
183	강화도 함허동천 계곡	37.6089	126.4358	valley	상시 개방	입장료 2천원	#마니산 #야영장	마니산 기슭의 맑은 물! 캠핑 데크가 아주 잘 되어 있어 수도권 캠퍼들에게 여름철 1순위 예약지.
184	파주 마장호수 출렁다리 인근	37.7567	126.9315	valley	상시 개방	무료	#수상레저 #계곡근처	호수 둘레길 산책과 수상 자전거를 즐기고, 주변 마장리 계곡 식당에서 시원한 여름을 보내세요.
185	동두천 탑동계곡 (왕방계곡)	37.8958	127.0818	valley	상시 개방	무료	#동두천6경 #너럭바위	물이 유난히 맑고 수량이 풍부해 동두천 시민들의 숨은 피서지. 바위가 평평해 돗자리 펴기 굿!
186	연천 재인폭포	38.0818	127.0156	valley	상시 개방	무료	#주상절리 #에메랄드물빛	한탄강 지질공원의 백미! 폭포 아래로 내려갈 순 없지만 주변 계곡물에 발 담그고 웅장함 감상.
187	철원 한탄강 래프팅 (순담계곡)	38.1958	127.2318	valley	상시 개방	패키지별 상이	#짜릿함 #현무암협곡	화산 폭발로 만들어진 깎아지른 현무암 협곡 사이를 급류 타고 내려오는 대한민국 래프팅 1번지!
188	화천 딴산 유원지	38.1258	127.7315	valley	상시 개방	무료	#인공폭포 #노지캠핑	강가에 거대한 인공폭포가 쏟아지고 넓은 자갈밭이 있어 캠핑카와 텐트족에게 천국 같은 무료 노지.
189	홍천 수타사 계곡 (수타사소산)	37.7125	127.9542	valley	상시 개방	무료	#생태숲 #산소길	수타사 생태숲 산소길을 걷다 땀이 나면 맑은 계곡물에 입수! 숲이 빽빽해 해를 피하기 완벽합니다.
190	인제 내린천 래프팅	37.9542	128.2318	valley	상시 개방	패키지별 상이	#국내최고급류 #스릴만점	우리나라에서 가장 래프팅 코스가 다이나믹한 곳! 아찔한 급류를 타며 무더위를 날려버리세요.
191	인제 원대리 자작나무숲 인근 계곡	38.0125	128.1456	valley	상시 개방	무료	#자작나무 #청정옥수	하얀 자작나무 숲을 트레킹하고 내려와서 근처 맑은 계곡물에 발을 담그면 힐링 그 자체입니다.
192	양양 미천골 자연휴양림	37.9258	128.4518	valley	상시 개방	입장료 별도	#오염제로 #원시림	울창한 원시림 사이로 흐르는 청정 1급수 계곡! 휴양림 야영 데크 예약에 성공한다면 최고의 여름.
193	속초 척산온천 족욕공원	38.1958	128.5518	free	상시 개방	무료(수건 1천원)	#이열치열 #피로회복	해수욕 후 차가워진 몸을 따뜻한 온천수에 녹이는 곳! 야외에 무료 족욕탕이 잘 정비되어 있습니다.
194	강릉 솔향수목원 계곡	37.6958	128.8518	valley	상시 개방	무료	#금강소나무 #피톤치드	엄청나게 굵은 금강소나무 숲을 걸으며 삼림욕을 하고, 수목원 내 얕은 계류에서 물장구 칠 수 있어요.
195	동해 추암 촛대바위 출렁다리 해변	37.4785	129.1578	beach	2026-07-10	무료	#출렁다리 #바다위걷기	해수욕장 바로 옆, 바다 위를 가로지르는 아찔한 출렁다리를 걸으며 시원한 동해 바닷바람을 맞으세요.
196	울진 성류굴 앞 왕피천 계곡	36.9318	129.3518	valley	상시 개방	무료	#은어잡이 #성류굴	천연기념물 성류굴 구경 후, 바로 앞 넓게 흐르는 왕피천에서 튜브 타고 놀거나 낚시하기 좋습니다.
197	영주 무섬마을 외나무다리 (내성천)	36.7858	128.6125	valley	상시 개방	무료	#외나무다리 #은빛모래	강물 위를 아슬아슬하게 건너는 외나무다리 샷 필수! 수심이 얕고 모래가 고와 발 담그기 최고입니다.
198	청송 얼음골	36.2542	129.1856	valley	상시 개방	무료	#에어컨골짜기 #캠핑	여름 땡볕에도 얼음이 언다는 신비의 골짜기. 폭포 앞에서 부는 천연 에어컨 바람에 닭살이 돋습니다.
199	포항 하옥계곡	36.3125	129.2158	valley	상시 개방	무료	#오지계곡 #숨은비경	포항 북부 산속 깊숙이 숨어있는 맑고 깨끗한 계곡. 아직 사람들에게 덜 알려져 여유로운 피서 가능!
200	대구 화원유원지 사문진 나루터	35.8015	128.4818	free	상시 개방	유람선 별도	#낙동강 #분수	낙동강 뷰를 보며 유람선(쾌속선)을 타고 바람을 가를 수 있으며, 강변 피아노 분수 주변에서 휴식.
