id	name	lat	lng	type	openDate	price	tags	description
215	인천 파라다이스시티 씨메르	37.4385	126.4528	waterpark	상시 개방	시즌별 상이	#풀파티 #유러피안스파	이국적인 분위기의 고급 스파와 트렌디한 풀파티가 열리는 2030 최고의 럭셔리 핫플레이스!
216	속초 설악 워터피아	38.2089	128.5283	waterpark	상시 개방	시즌별 상이	#설악산뷰 #천연온천수	설악산의 웅장한 절경을 보며 100% 천연 온천수 파도풀과 메일스트롬을 즐길 수 있습니다.
217	속초 롯데리조트 워터파크	38.1725	128.6083	waterpark	상시 개방	시즌별 상이	#바다뷰 #인피니티풀	동해 바다가 끝없이 펼쳐지는 야외 인피니티풀과 아기자기한 실내 파도풀이 일품!
218	평창 알펜시아 오션700	37.6583	128.6756	waterpark	상시 개방	시즌별 상이	#대관령 #실내워터파크	여름에도 서늘한 대관령에 위치! 열대 섬을 테마로 한 거대한 실내 워터파크입니다.
219	여수 디오션 워터파크	34.7385	127.6456	waterpark	2026-06-25	시즌별 상이	#여수바다 #인피니티풀	'바다를 품은 워터파크' 여수 바다를 보며 롤러코스터 같은 어트랙션을 타는 짜릿함!
220	나주 중흥 골드스파 워터락	34.9583	126.8256	waterpark	2026-06-15	시즌별 상이	#호남최대 #토네이도	호남 지역 최대 규모! 동양 최대 크기의 토네이도 슬라이드와 거대한 아마존 리버가 특징.
221	화순 아쿠아나 (금호리조트)	35.0583	127.0256	waterpark	상시 개방	시즌별 상이	#천연알칼리온천 #워터슬라이드	100% 온천수를 사용하며, 광주/전남 도민들이 아이들과 함께 가볍게 놀기 좋은 온천 테마파크.
222	제주 신화워터파크	33.3056	126.3189	waterpark	상시 개방	시즌별 상이	#제주최대 #슈퍼크리퍼코일	제주도 유일의 대형 워터파크! 아시아 최초로 도입된 짜릿한 대형 슬라이드가 2개나 있습니다.
223	아산 파라다이스 스파 도고	36.7583	126.8528	waterpark	상시 개방	시즌별 상이	#보양온천 #파도풀	국가 보양 온천수로 지정된 곳! 밤에는 야간 개장(나이트 스파)으로 로맨틱한 분위기를 연출합니다.
224	강화도 누리 워터파크	37.6625	126.4358	waterpark	2026-06-20	시즌별 상이	#강화도 #어린이풀	서울 근교 강화도에 위치하여 접근성이 좋고, 아이들 맞춤형 슬라이드가 잘 구비되어 있습니다.
225	가평 캠프통아일랜드 (빠지)	37.7125	127.4856	waterpark	2026-05-01	시즌별 상이	#청평호 #수상레저끝판왕	워터파크는 아니지만 여름 물놀이의 꽃 '빠지'! 초대형 워터 슬라이드와 무제한 보트 탑승.
226	가평 수상레저 VIVA (빠지)	37.7385	127.5256	waterpark	2026-05-01	시즌별 상이	#가평빠지 #블롭점프	청춘들의 여름 MT 필수 코스. 남이섬 근처 넓은 북한강에서 즐기는 익스트림 워터파크!
227	포천 신북리조트 스프링폴	37.9583	127.1456	waterpark	상시 개방	시즌별 상이	#독일식바데풀 #가족단위	자연 속에서 온천과 물놀이를 동시에! 수도권 북부 주민들이 당일치기로 많이 찾는 명소.
228	시흥 웨이브파크	37.3258	126.6856	waterpark	2026-05-15	시즌별 상이	#거북섬 #인공서핑장	세계 최대 규모의 인공 서핑장! 초보자도 1시간이면 파도를 탈 수 있는 환상적인 서핑 워터파크.
229	안성 스타필드 아쿠아필드	36.9856	127.1456	waterpark	상시 개방	시즌별 상이	#루프탑풀 #키즈풀	안성 스타필드 쇼핑 후 아이들과 함께 전망 좋은 야외 풀과 찜질방에서 하루를 마무리하세요.
230	칠곡 클럽아이리스 워터파크	35.9856	128.4528	waterpark	2026-06-25	시즌별 상이	#대구근교 #취사가능워터파크	야외 워터파크인데 평상에서 고기를 구워 먹을 수 있는(취사 가능) 전국에 몇 안 되는 갓성비 핫플!
