id	name	lat	lng	type	openDate	price	tags	description
12	양평 사나사 계곡	37.5501	127.5303	valley	상시 개방	무료	#울창한숲 #힐링	사람이 덜 붐비고 숲이 울창해 햇빛을 피하기 좋은 숨겨진 꿀단지 계곡입니다.
13	강릉 경포 해수욕장	37.8055	128.9079	beach	2026-07-01	무료	#소나무숲 #동해안	끝없이 펼쳐진 동해안의 푸른 바다와 울창한 송림이 어우러진 동해안 최대 해수욕장.
14	과천 서울대공원 계곡	37.4362	127.0142	valley	상시 개방	무료	#동물원 #캠핑장	동물원 구경하고 더우면 바로 계곡으로 풍덩! 근처에 저렴한 캠핑장도 이용할 수 있습니다.
15	수원 만석공원 물놀이장	37.3005	127.0016	free	2026-07-10	무료	#대형공원 #주차편리	수원 시민들의 핫플레이스! 넓은 공원 안에 최신식 물놀이 놀이터가 무료로 개방됩니다.
16	포항 영일대 해수욕장	36.0617	129.3807	beach	2026-06-25	무료	#야경맛집 #모래썰매	바다 한가운데 있는 영일대 누각 야경이 일품! 근처에 맛집과 예쁜 카페도 널려있습니다.
17	난지 한강공원 강변물놀이장	37.5661	126.8821	cheap	2026-06-20	3,000원	#인피니티풀 #초저가	수심이 얕아 아이들이 안전하게 놀기 좋고, 강변과 맞닿아 있어 인피니티풀 느낌이 납니다!
18	동해 망상 해수욕장	37.5937	129.0886	beach	2026-07-12	무료	#오토캠핑 #백사장	수심이 얕고 백사장이 넓어 가족 단위 피서객에게 최고! 시설 좋은 오토캠핑장도 함께 있어요.
19	포천 백운계곡	38.0560	127.4206	valley	상시 개방	무료	#파라솔무료 #맑은물	경기도가 불법 평상을 싹 철거하고 무료 파라솔을 깔아둔 진정한 갓성비 청정 계곡!
20	대전 엑스포 시민광장 바닥분수	36.3762	127.3853	free	상시 개방	무료	#자전거 #도심휴식	갑천변을 따라 자전거 타다가 시원한 바닥분수에서 땀 식히기 딱 좋은 대전 시민의 휴식처.
21	제주 협재 해수욕장	33.3939	126.2396	beach	2026-06-24	무료	#비양도뷰 #일몰맛집	수심이 얕고 모래가 곱기로 유명한 제주 서쪽 대표 해변. 비양도로 떨어지는 일몰이 예술입니다.
22	광안리 해수욕장	35.1532	129.1189	beach	2026-07-01	무료	#광안대교 #드론쇼	광안대교 뷰를 보며 즐기는 야간 수영! 매주 주말 밤마다 열리는 드론쇼는 절대 놓치지 마세요.
23	보령 대천 해수욕장	36.3056	126.5165	beach	2026-07-06	무료	#머드축제 #서해안최대	서해안 최대 규모! 세계적인 머드축제와 짚트랙, 스카이바이크 등 액티비티 천국입니다.
24	잠원 한강공원 수영장	37.5218	127.0142	cheap	2026-06-20	5,000원	#젊음의거리 #접근성	신사역/압구정과 가까워 2030에게 특히 인기 만점! 태닝하기 좋은 넓은 공간이 있습니다.
25	남원 뱀사골 계곡	35.3475	127.5683	valley	상시 개방	무료	#지리산 #얼음물	한여름에도 물에 1분 이상 발을 담그기 힘들 정도로 시원한 지리산 국립공원의 보석!
26	송도 센트럴파크 해수공원	37.3927	126.6393	free	상시 개방	무료	#보트투어 #야경명소	도심 한가운데 인공 해수로 만들어진 공원! 바닥분수와 문보트를 즐길 수 있는 핫플입니다.
27	울산 진하 해수욕장	35.3856	129.3467	beach	2026-07-01	무료	#차박성지 #명선도	물이 맑고 수심이 얕아 놀기 좋으며, 밤에는 명선도의 환상적인 미디어아트를 볼 수 있어요!
28	여수 웅천친수공원 해변	34.7570	127.6598	beach	2026-06-25	무료	#해양레저 #야영장	인공으로 조성된 해변으로 모래가 곱고, 패들보드 등 해양레저를 무료로 체험할 수 있습니다.
29	용인 묵리 계곡	37.1950	127.2301	valley	상시 개방	무료	#수도권계곡 #비밀의숲	용인 외곽에 위치해 사람이 적고 물이 깨끗한 숨겨진 명소! 발 담그고 쉬기 딱 좋습니다.
30	부천 중앙공원 바닥분수	37.5022	126.7645	free	상시 개방	무료	#피크닉 #도심오아시스	부천 시민들의 사랑을 받는 거대한 공원! 바닥분수 가동 시기엔 아이들의 웃음소리가 끊이지 않아요.
31	포천 허브아일랜드 야외수영장	37.9338	127.1706	cheap	2026-07-01	5,000원	#이색수영장 #야간조명	허브향 가득한 곳에서 수영을! 밤에는 불빛동화축제까지 한 번에 즐길 수 있는 가성비 스팟.
32	통영 비진도 해수욕장	34.7214	128.4687	beach	2026-07-05	무료	#섬여행 #산호빛바다	배를 타고 들어가야 하지만 그만큼 완벽한 에메랄드빛 바다를 만날 수 있는 천상의 섬 해변.
33	양주 장흥 계곡	37.7314	126.9450	valley	상시 개방	무료	#방갈로 #백숙맛집	경기도 대표 계곡 유원지! 불법 평상이 사라져 계곡물 접근이 훨씬 쾌적해졌습니다.
34	남양주 피아노폭포 물놀이장	37.6433	127.3021	free	2026-07-01	무료	#이색화장실 #폭포뷰	인공 폭포에서 떨어지는 시원한 물줄기와 피아노 모양 화장실로 유명한 무료 물놀이장.
35	동작구 보라매공원 바닥분수	37.4939	126.9200	free	상시 개방	무료	#도심물놀이 #안전요원	서울 서남권 최대 공원! 여름철 바닥분수 가동 시 안전요원까지 배치되어 안심하고 놀 수 있습니다.
36	완도 맑은물 계곡	34.3312	126.7023	valley	상시 개방	무료	#남해안 #힐링명소	완도 수목원 근처에 위치한 맑고 시원한 계곡. 남도 여행 중 더위를 식히기에 제격입니다.
37	태안 꽃지 해수욕장	36.4975	126.3353	beach	2026-07-01	무료	#할미할아비바위 #서해안	아름다운 낙조로 유명한 서해안 3대 해수욕장. 썰물 때는 갯벌 체험까지 가능합니다!
38	제주 금능 해수욕장	33.3897	126.2301	beach	2026-06-24	무료	#투명한물 #가족스팟	협재 바로 옆에 있지만 비교적 덜 붐비고 물이 엄청나게 얕아 어린아이들과 놀기 가장 좋습니다.
39	안산 호수공원 물놀이장	37.2974	126.8322	free	2026-07-15	무료	#경기남부 #대형분수	규모가 꽤 큰 편인 안산의 무료 물놀이장. 화장실과 샤워시설도 깔끔하게 갖춰져 있습니다.
40	동해 무릉계곡	37.4616	128.9856	valley	상시 개방	무료	#선녀탕 #절경	신선이 노닐던 곳이라는 이름답게, 압도적인 바위 절경과 맑은 물웅덩이(선녀탕)가 예술입니다.
41	서울어린이대공원 수경시설	37.5487	127.0805	free	상시 개방	무료	#어린이천국 #동물원무료	동물원 구경하고 바로 앞 바닥분수에서 물놀이까지! 하루 종일 0원으로 완벽한 피서가 가능해요.
42	부산 송정 해수욕장	35.1786	129.1996	beach	2026-06-01	무료	#서핑성지 #부분개장	해운대보다 덜 붐비고 파도가 좋아 서퍼들의 성지로 불립니다. 6월 1일부터 부분 개장!
43	광명 사거리 바닥분수	37.4795	126.8549	free	상시 개방	무료	#동네피서 #간식거리	시장 구경 후 아이들과 잠시 물놀이하기 좋은 동네 핫플. 주변에 먹거리가 넘쳐납니다.
44	가평 어비계곡	37.7667	127.4680	valley	상시 개방	무료	#얼음장 #인파적음	유명산 옆에 숨어있는 계곡! 한여름에도 물이 얼음장처럼 차갑고 비교적 인파가 적은 편입니다.
45	포항 화진 해수욕장	36.2167	129.3800	beach	2026-07-06	무료	#차박 #솔밭	차박과 캠핑을 즐기는 사람들에게 널리 알려진 곳. 소나무 숲이 빽빽해 그늘이 많습니다.
46	인천 청라호수공원 환상의숲	37.5312	126.6341	free	상시 개방	무료	#음악분수 #대형공원	거대한 청라호수공원 내에 위치한 어린이 물놀이장! 밤에는 환상적인 음악분수 쇼까지 볼 수 있어요.
47	남해 상주은모래비치	34.7335	128.0163	beach	2026-07-07	무료	#은빛모래 #남해바다	은가루를 뿌린 듯 부드러운 모래와 병풍처럼 둘러싸인 송림이 일품인 남해안 최고 비치.
48	춘천 구곡폭포 계곡	37.8386	127.5959	valley	상시 개방	무료	#폭포바람 #산책로	시원한 폭포에서 불어오는 천연 에어컨 바람! 완만한 산책로를 따라 올라가며 발 담그기 좋습니다.
49	안양 중앙공원 바닥분수	37.3872	126.9535	free	상시 개방	무료	#잔디밭 #피크닉	안양 평촌 시민들의 안식처! 넓은 잔디밭 주변으로 분수가 길게 이어져 있어 아이들이 열광합니다.
50	거제 학동 몽돌해변	34.7675	128.6366	beach	2026-07-01	무료	#몽돌소리 #흑진주	모래 대신 둥글둥글한 흑진주 몽돌이 깔린 이색 해변! 파도에 몽돌 구르는 소리가 힐링 그 자체입니다.
